gettyid,prefLabel,altLabel,placeType,parentString,parentStringAbbrev,placeTypeNonPreferred,prefLabelGVP,latitude,longitude
1090520," ""Mutha"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91423, -1.7833, 38.4333
1090521," ""Muvukoni"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91424, -.4, 38.2333
1090522," ""Mwereni"" .",, <http://vocab.getty.edu/aat/300008347," ""Kwale, Kenya, Africa, World"" ."," ""Kwale, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91425, -4.3667, 39.0833
1090523," ""Mwingi"" .",, <http://vocab.getty.edu/aat/300008347," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91426, -.9333, 38.0833
1090525," ""Naivasha"" .",, <http://vocab.getty.edu/aat/300008347," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91428, -.7333, 36.4333
1090526," ""Nakuru"" .",, <http://vocab.getty.edu/aat/300008347; <http://vocab.getty.edu/aat/300387512; <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375; <http://vocab.getty.edu/aat/300387270," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300387512; <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375; <http://vocab.getty.edu/aat/300387270, <http://vocab.getty.edu/tgn/term/91429, -.2667, 36.0667
1090527," ""Namanga"" .",, <http://vocab.getty.edu/aat/300008347," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91430, -2.55, 36.8
1090528," ""Namuruputh"" .",, <http://vocab.getty.edu/aat/300008347," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91431, 4.5833, 35.9333
1090529," ""Nanyuki"" .",, <http://vocab.getty.edu/aat/300008347," ""Laikipia, Kenya, Africa, World"" ."," ""Laikipia, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91432, .0167, 37.0833
1090530," ""Narok"" .",, <http://vocab.getty.edu/aat/300008347," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91433, -1.0667, 35.9
1090531," ""Ngong"" .",, <http://vocab.getty.edu/aat/300008347," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91434, -1.3667, 36.6667
1090532," ""Ngorengore"" .",, <http://vocab.getty.edu/aat/300008347," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91435, -1.05, 35.5
1090533," ""North Horr"" .",, <http://vocab.getty.edu/aat/300008347," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91436, 3.3167, 37.0667
1090534," ""Nyahururu Falls"" ."," ""Nyahururu"" .", <http://vocab.getty.edu/aat/300008347," ""Laikipia, Kenya, Africa, World"" ."," ""Laikipia, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91437, .0333, 36.3667
1090535," ""Nyeri"" .",, <http://vocab.getty.edu/aat/300008347; <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375," ""Nyeri, Kenya, Africa, World"" ."," ""Nyeri, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300387223; <http://vocab.getty.edu/aat/300008375, <http://vocab.getty.edu/tgn/term/91438, -.4167, 36.9333
1090536," ""Pate"" .",, <http://vocab.getty.edu/aat/300008347," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91439, -2.1333, 41.0333
1090537," ""Rabai"" .",, <http://vocab.getty.edu/aat/300008347," ""Mombasa, Kenya, Africa, World"" ."," ""Mombasa, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91440, -3.9167, 39.5667
1090538," ""Ramu"" .",, <http://vocab.getty.edu/aat/300008347," ""Mandera, Kenya, Africa, World"" ."," ""Mandera, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91441, 3.9, 41.2
1090539," ""Rongai"" .",, <http://vocab.getty.edu/aat/300008347," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91442, -.1833, 35.8667
1090540," ""Rumuruti"" .",, <http://vocab.getty.edu/aat/300008347," ""Laikipia, Kenya, Africa, World"" ."," ""Laikipia, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91443, .2667, 36.5333
1090541," ""Sabarei"" .",, <http://vocab.getty.edu/aat/300008347," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91444, 4.3167, 36.9167
1090542," ""Saka"" .",, <http://vocab.getty.edu/aat/300008347," ""Tana River, Kenya, Africa, World"" ."," ""Tana River, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91445, -.1333, 39.3667
1090543," ""Sarim"" .",, <http://vocab.getty.edu/aat/300008347," ""Garissa, Kenya, Africa, World"" ."," ""Garissa, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91446, -.3833, 40.9667
1090544," ""Sericho"" .",, <http://vocab.getty.edu/aat/300008347," ""Isiolo, Kenya, Africa, World"" ."," ""Isiolo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91447, 1.1333, 39.1167
1090545," ""Shimoni"" .",, <http://vocab.getty.edu/aat/300008347," ""Kwale, Kenya, Africa, World"" ."," ""Kwale, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91448, -4.6167, 39.3667
1090546," ""Simba"" .",, <http://vocab.getty.edu/aat/300008347," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91449, -2.1667, 37.6
1090547," ""Solai"" .",, <http://vocab.getty.edu/aat/300008347; <http://vocab.getty.edu/aat/300007783," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300007783, <http://vocab.getty.edu/tgn/term/91450, .016, 36.15
1090548," ""Sotik"" .",, <http://vocab.getty.edu/aat/300008347," ""Kericho, Kenya, Africa, World"" ."," ""Kericho, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91451, -.6667, 35.1333
1090549," ""South Horr"" .",, <http://vocab.getty.edu/aat/300008347," ""Samburu, Kenya, Africa, World"" ."," ""Samburu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91452, 2.1167, 36.9167
1090550," ""Suna"" .",, <http://vocab.getty.edu/aat/300008347," ""Migori, Kenya, Africa, World"" ."," ""Migori, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91453, -1.1, 34.4833
1090551," ""Takaungu"" .",, <http://vocab.getty.edu/aat/300008347," ""Kilifi, Kenya, Africa, World"" ."," ""Kilifi, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91454, -3.7, 39.85
1090552," ""Tangulbei"" .",, <http://vocab.getty.edu/aat/300008347," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91455, .8, 36.2833
1090553," ""Taveta"" .",, <http://vocab.getty.edu/aat/300008347," ""Taita/Taveta, Kenya, Africa, World"" ."," ""Taita/Taveta, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91456, -3.3833, 37.6667
1090554," ""Thika"" .",, <http://vocab.getty.edu/aat/300008347," ""Kiambu, Kenya, Africa, World"" ."," ""Kiambu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91457, -1.05, 37.0833
1090555," ""Timau"" .",, <http://vocab.getty.edu/aat/300008347," ""Meru, Kenya, Africa, World"" ."," ""Meru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91458, .0833, 37.25
1090556," ""Todenyang"" .",, <http://vocab.getty.edu/aat/300008347," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91459, 4.5333, 35.9333
1090557," ""Tsavo"" .",, <http://vocab.getty.edu/aat/300008347," ""Taita/Taveta, Kenya, Africa, World"" ."," ""Taita/Taveta, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91460, -2.9833, 38.4667
1090559," ""Voi"" .",, <http://vocab.getty.edu/aat/300008347," ""Taita/Taveta, Kenya, Africa, World"" ."," ""Taita/Taveta, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91462, -3.3833, 38.5833
1090560," ""Wajir"" .",, <http://vocab.getty.edu/aat/300008347; <http://vocab.getty.edu/aat/300387223," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300387223, <http://vocab.getty.edu/tgn/term/91463, 1.7667, 40.0833
1090561," ""Wamba"" .",, <http://vocab.getty.edu/aat/300008347," ""Samburu, Kenya, Africa, World"" ."," ""Samburu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91464, .9667, 37.3167
1090562," ""Wange"" .",, <http://vocab.getty.edu/aat/300008347," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91465, -2, 40.9167
1090563," ""Witu"" .",, <http://vocab.getty.edu/aat/300008347," ""Lamu, Kenya, Africa, World"" ."," ""Lamu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/91466, -2.4, 40.4667
1101361," ""Aberdare National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Nyeri, Kenya, Africa, World"" ."," ""Nyeri, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102364, -.5, 36.75
1101374," ""Amboseli National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102377, -2.5, 37.25
1101499," ""Sibiloi National Park"" ."," ""East Rudolf National Park"" .", <http://vocab.getty.edu/aat/300008189," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/1002199083, 3.9167, 36.3333
1101663," ""Lake Nakuru National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102668, -.3333, 36.0833
1101689," ""Malindi Marine National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Kilifi, Kenya, Africa, World"" ."," ""Kilifi, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102694, -3.25, 40.1667
1101696," ""Marsabit National Reserve"" ."," ""Marsabit National Park"" .", <http://vocab.getty.edu/aat/300008189; <http://vocab.getty.edu/aat/300008178," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300008178, <http://vocab.getty.edu/tgn/term/1002199087, 1.666, 37.333
1101701," ""Meru National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Isiolo, Kenya, Africa, World"" ."," ""Isiolo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102706, .1667, 38.25
1101723," ""Mount Elgon National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/102728, 1.0833, 34.75
1101727," ""Mount Kenya National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/102732, -.1667, 37.3333
1101744," ""Nairobi National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Nairobi City, Kenya, Africa, World"" ."," ""Nairobi City, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102749, -1.4167, 36.8333
1101768," ""Ol Doinyo Sapuk National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Machakos, Kenya, Africa, World"" ."," ""Machakos, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102773, -1.15, 37.2
1101845," ""Saiwa Swamp National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Trans Nzoia, Kenya, Africa, World"" ."," ""Trans Nzoia, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102850, 1.1, 35.2
1101916," ""Tsavo National Park East"" ."," ""Tsavo East National Park"" .", <http://vocab.getty.edu/aat/300008189," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/1002206718, -2.1667, 38.4167
1101917," ""Tsavo West National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Taita/Taveta, Kenya, Africa, World"" ."," ""Taita/Taveta, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102924, -2.9167, 37.9167
1101939," ""Watamu Marine National Park"" .",, <http://vocab.getty.edu/aat/300008189," ""Kilifi, Kenya, Africa, World"" ."," ""Kilifi, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/102946, -3.3833, 40
1102097," ""Gede National Park"" ."," ""Gedi National Monument"" .; ""Gedi Royal National Park"" .; ""Gede Royal National Park"" .", <http://vocab.getty.edu/aat/300008189; <http://vocab.getty.edu/aat/300006958," ""Kilifi, Kenya, Africa, World"" ."," ""Kilifi, Kenya, ... World"" .", <http://vocab.getty.edu/aat/300006958, <http://vocab.getty.edu/tgn/term/1001260004, -3.3167, 40.05
1103366," ""Chalbi Desert"" .",, <http://vocab.getty.edu/aat/300008916," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/104379,,
1103831," ""Bagage"" .",, <http://vocab.getty.edu/aat/300008795," ""Mandera, Kenya, Africa, World"" ."," ""Mandera, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/104853,,
1104016," ""Bokkol"" ."," ""Bokol"" .", <http://vocab.getty.edu/aat/300008795," ""Samburu, Kenya, Africa, World"" ."," ""Samburu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/105040,,
1104217," ""Chepkotet"" .",, <http://vocab.getty.edu/aat/300008795," ""West Pokot, Kenya, Africa, World"" ."," ""West Pokot, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/105246,,
1104527," ""Elgon, Mount"" ."," ""Mount Elgon"" .", <http://vocab.getty.edu/aat/300008795," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/105559, 1.133333, 34.55
1105133," ""Kachagalau"" .",, <http://vocab.getty.edu/aat/300008795," ""West Pokot, Kenya, Africa, World"" ."," ""West Pokot, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106176,,
1105170," ""Kasigau"" .",, <http://vocab.getty.edu/aat/300008795," ""Taita/Taveta, Kenya, Africa, World"" ."," ""Taita/Taveta, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106213,,
1105203," ""Ketingwan"" .",, <http://vocab.getty.edu/aat/300008795," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106247,,
1105240," ""Kirinyaga"" ."," ""Kenia"" .; ""Mount Kenya"" .; ""Kenya, Mount"" .", <http://vocab.getty.edu/aat/300008795," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/106284, -.166, 37.333333
1105295," ""Kulal, Mount"" ."," ""Mount Kulal"" .", <http://vocab.getty.edu/aat/300008795," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106340,,
1105392," ""Lesatima, Oldoinyo"" ."," ""Oldoinyo Lesatima"" .; ""Lesatima"" .", <http://vocab.getty.edu/aat/300008795," ""Nyeri, Kenya, Africa, World"" ."," ""Nyeri, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106437,,
1105710," ""Mtelo"" .",, <http://vocab.getty.edu/aat/300008795," ""West Pokot, Kenya, Africa, World"" ."," ""West Pokot, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106761,,
1105725," ""Mumoni"" .",, <http://vocab.getty.edu/aat/300008795," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106776,,
1105833," ""Ng'iro"" .",, <http://vocab.getty.edu/aat/300008795," ""Samburu, Kenya, Africa, World"" ."," ""Samburu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106886, 2.133, 36.85
1105917," ""Ol Doinyo Orok"" ."," ""Orok, Oldoinyo"" .", <http://vocab.getty.edu/aat/300008795," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106970,,
1105927," ""Osupugo"" .",, <http://vocab.getty.edu/aat/300008795," ""Narok, Kenya, Africa, World"" ."," ""Narok, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/106981,,
1106011," ""Pelekech"" .",, <http://vocab.getty.edu/aat/300008795," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/107066,,
1106096," ""Poro"" .",, <http://vocab.getty.edu/aat/300008795," ""Samburu, Kenya, Africa, World"" ."," ""Samburu, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/107153,,
1106526," ""Songot"" .",, <http://vocab.getty.edu/aat/300008795," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/107587,,
1106730," ""Tiati"" .",, <http://vocab.getty.edu/aat/300008795," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/107792,,
1108032," ""Huri"" .",, <http://vocab.getty.edu/aat/300008777," ""Marsabit, Kenya, Africa, World"" ."," ""Marsabit, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/109104,,
1109852," ""Aberdare Range"" .",, <http://vocab.getty.edu/aat/300386831," ""Nyeri, Kenya, Africa, World"" ."," ""Nyeri, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/110988,,
1110380," ""Yatta Plateau"" .",, <http://vocab.getty.edu/aat/300132339," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/111525,,
1110425," ""Cherangany Hills"" .",, <http://vocab.getty.edu/aat/300008777," ""West Pokot, Kenya, Africa, World"" ."," ""West Pokot, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/111570,,
1110903," ""Boji Plain"" .",, <http://vocab.getty.edu/aat/300008805," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/112050,,
1110994," ""Bun Plains"" .",, <http://vocab.getty.edu/aat/300008805," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/112144,,
1113973," ""Ungama Bay"" .",, <http://vocab.getty.edu/aat/300132316," ""Tana River, Kenya, Africa, World"" ."," ""Tana River, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/115205,,
1114037," ""Winam Gulf"" ."," ""Winam"" .", <http://vocab.getty.edu/aat/300132316; <http://vocab.getty.edu/aat/300132315," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .", <http://vocab.getty.edu/aat/300132316, <http://vocab.getty.edu/tgn/term/365869, -.25, 34.601
1115529," ""Baringo, Lake"" ."," ""Lake Baringo"" .", <http://vocab.getty.edu/aat/300008680," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/116794,,
1115655," ""Bogoria, Lake"" ."," ""Lake Bogoria"" .; ""Hannington, Lake"" .", <http://vocab.getty.edu/aat/300008680," ""Baringo, Kenya, Africa, World"" ."," ""Baringo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/116921,,
1117434," ""Naivasha, Lake"" ."," ""Lake Naivasha"" .", <http://vocab.getty.edu/aat/300008680," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/118716,,
1117436," ""Nakuru, Lake"" ."," ""Lake Nakuru"" .", <http://vocab.getty.edu/aat/300008680," ""Nakuru, Kenya, Africa, World"" ."," ""Nakuru, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/118718,,
1119104," ""Magadi, Lake"" ."," ""Lake Magadi"" .; ""Soda"" .", <http://vocab.getty.edu/aat/300387087," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/120405,,
1121468," ""Athi"" .",, <http://vocab.getty.edu/aat/300008707," ""Kitui, Kenya, Africa, World"" ."," ""Kitui, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/122805,,
1122047," ""Bohol, Lach"" ."," ""Lach Bohol"" .; ""Bogal, Lagh"" .; ""Lagh Bogal"" .", <http://vocab.getty.edu/aat/300008707," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/1002199088, .697, 40.95
1122124," ""Bor, Lak"" ."," ""Lak Bor"" .; ""Bor, Laga"" .", <http://vocab.getty.edu/aat/300008707," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/123482,,
1122822," ""Choichuf, Laga"" ."," ""Laga Choichuf"" .; ""Laga Choichuff"" .; ""Choichuff, Laga"" .", <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/365797, 2.55502, 38.874837
1123451," ""Dodori"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/124852, -1.908031, 41.010096
1124086," ""Galana"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/125515, -3.168286, 40.144304
1124557," ""Har, Laga"" ."," ""Laga Har"" .", <http://vocab.getty.edu/aat/300008707," ""Wajir, Kenya, Africa, World"" ."," ""Wajir, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/126005,,
1124643," ""Hiraman"" .",, <http://vocab.getty.edu/aat/300008707," ""Tana River, Kenya, Africa, World"" ."," ""Tana River, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/126093, -1.116667, 39.916667
1125525," ""Kerio"" .",, <http://vocab.getty.edu/aat/300008707," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/127010,,
1125829," ""Kutulo, Lagh"" ."," ""Lagh Kutulo"" .", <http://vocab.getty.edu/aat/300008707," ""Mandera, Kenya, Africa, World"" ."," ""Mandera, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/127332,,
1127084," ""Merille, Laga"" ."," ""Laga Merille"" .", <http://vocab.getty.edu/aat/300008707," ""Isiolo, Kenya, Africa, World"" ."," ""Isiolo, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/128650, 1.416667, 38.433333
1127152," ""Migori"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/128721, -.988, 34.250572
1127157," ""Milgis"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/128726, 1.8, 38.1
1127748," ""Ng'iro, Ewaso"" ."," ""Ewaso Ng'iro"" .", <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/129339, .466, 39.931
1127754," ""Ngiro, Ewaso"" ."," ""Ewaso Ngiro"" .; ""Ngiro, Guaso"" .; ""Ngiro, Engare"" .; ""Ng'iro, Ngare"" .", <http://vocab.getty.edu/aat/300008707," ""Kajiado, Kenya, Africa, World"" ."," ""Kajiado, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/129345, -2.136, 36.051
1127969," ""Nzoia"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/129568, .056, 33.95282
1130384," ""Suguta"" .",, <http://vocab.getty.edu/aat/300008707," ""Turkana, Kenya, Africa, World"" ."," ""Turkana, Kenya, ... World"" .",, <http://vocab.getty.edu/tgn/term/132078,,
1130589," ""Tana"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/132293, -2.533311, 40.531223
1130820," ""Thowa"" .",, <http://vocab.getty.edu/aat/300008707," ""Kenya, Africa, World"" ."," ""Kenya, Africa, World"" .",, <http://vocab.getty.edu/tgn/term/132537, -1.55, 40.05
